,,,,,,Notifiable Offence List  2018-2019,,,,,,,
,,,,,,,,,,,,,
"This list can be filtered to show indictable, triable-either-way and summary offences.",,,,,,,,,,,,,
Click on the drop down arrow above the column marked ‘mode’ and select either “I” (indictable) “E” (triable-either-way) or “S” (summary).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Home Office code,Mode,Max Sentence,Victim or State Based,Class,Sub class,Offence category,Offence,Act,Year added/amended/deleted,Commencement date,Cessation date,Note,
5/1,I,life,V,Violence Against The Person,Violence with injury ,5D Assault with intent to cause serious harm ,Wounding with intent to do grievous bodily harm,Offences against the Person Act 1861 Sec 18,,,,Offence included in new 8S Category,
5/1,I,life,V,Violence Against The Person,Violence with injury ,8S Assault with injury on a constable,Wounding with intent to do grievous bodily harm,Offences against the Person Act 1861 Sec 18,01/04/2017,,,,
5/1,I,Life,V,Violence Against The Person,Violence with injury ,8S Assault with injury on a constable,Cause GBH with intent to resist/prevent arrest,Offences against the Person Act 1861 Sec 18,01/04/2017,,,Offence included in new 8S Category,
5/1,I,Life,V,Violence Against The Person,Violence with injury ,8S Assault with injury on a constable,Wounding with intent to resist/prevent arrest,Offences against the Person Act 1861 Sec 18 ,01/04/2017,,,Offence included in new 8S Category,
5/2,I,5,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Shooting at naval or revenue vessels,Customs & Excise Management Act 1979 Sec 85(2),,,,,
5/4,I,life,V,Violence Against The Person,Violence with injury ,5E Endangering Life,Attempting to choke etc. in order to commit indictable offence,Offences against the Person Act 1861 Sec 21,,,,,
5/5,I,life,V,Violence Against The Person,Violence with injury ,5E Endangering Life,Using chloroform etc. to commit indictable offence,Offences against the Person Act 1861 Sec 22,,,,,
5/6,I,life,V,Violence Against The Person,Violence with injury ,5D Assault with intent to cause serious harm,Causing bodily injury by explosion,Offences against the Person Act 1861 Sec 28,,,,,
5/7,I,life,V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Causing explosions, sending explosive substance or throwing corrosive fluids with intent to do grievous bodily harm",Offences against the Person Act 1861 Sec 29,,,,,
5/8,I,life,V,Violence Against The Person,Violence with injury ,5E Endangering Life,Impeding the saving of life from shipwreck,Offences against the Person Act 1861 Sec 17,,,,,
5/9,I,14,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Placing explosives in or near buildings with intent to do bodily harm,Offences against the Person Act 1861 Sec 30,,,,,
5/10,I,10,V,Violence Against The Person,Violence with injury ,5E Endangering Life,Administering poison so as to endanger life,Offences against the Person  Act 1861 Sec 23 & 24,,,,,
5/11,E,7,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Causing danger to road-users,Road Traffic Act 1988 Sec 22a,,,,,
5/13,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Possession of explosives with intent to endanger life,Explosive Substances Act 1883 Sec 3(1)(b),,,,,
5/14,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Possession of firearm with intent to injure (Group I),Firearms Act 1968 Sec 16,,,,,
5/15,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Possession of firearm with intent to injure (Group II),Firearms Act 1968 Sec 16,,,,,
5/16,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Possession of firearm with intent to injure (Group III),Firearms Act 1968 Sec 16,,,,,
